,Title,Published_date,Views,Likes,Comments,Month
97,"100k Journey, Middle class life  | Storytime Vlog | **Giveaway**",2020-09-16,46152,4451,1704,Sep
98,Complete Roadmap for Web Development || Noob to Advanced || Web Developer 2020,2020-09-14,731700,42567,1714,Sep
99,5 PROJECT IDEAS for Resume && Great Placement || How to get Ideas ?,2020-09-08,374025,20146,780,Sep
100,100000 Live,2020-09-05,30277,2461,234,Sep
101,"Visiting School after Lockdown, Nostalgia ZINDABAD !!   **Use Headphone**",2020-09-04,41793,3499,461,Sep
102,Complete Roadmap for Android Development || Noob to Advanced || Android Developer 2020,2020-08-31,382920,22960,1370,Aug
103,Google Women Techmaker Scholarship Insights by a Google Scholar 2020 || Entire Process Explained,2020-08-24,55486,3518,421,Aug
104,Project Development Insights from Google Software Engineer | Best Project Dev Platform 2020,2020-08-20,63382,4524,430,Aug
105,Best Books for Placement Preparation || Any Branch/College || 2020 Book Recommendation,2020-08-13,117047,7351,819,Aug
106,How he got **35LPA PACKAGE** in Lockdown ?? || All about Virtual Interviews || DE SHAW Interview,2020-08-07,208910,10649,845,Aug
107,NEW EDUCATION POLICY 2020 || Major TakeAways || Entire Syllabus Changed,2020-08-01,23863,2076,356,Aug
108,Software Engineer experience at AMAZON || 1 YEAR at Amazon,2020-07-29,355150,17767,1110,Jul
109,Software Engineer Interview Rounds QnA 💻💻 || PART 2,2020-07-25,40153,3367,347,Jul
110,Doubts regarding TECHNICAL INTERVIEW ROUNDS || QnA || Part1,2020-07-21,51197,3888,443,Jul
111,CRACK any Off-Campus/On-Campus Placement Interview 2020 |  Practical tips | Placement Jobs,2020-07-13,63868,5590,715,Jul
112,How to use LinkedIn ? ? 🔥|  Proper Utilisation | Best Networking Platform,2020-07-08,224766,12949,700,Jul
113,Why EVERYONE should Learn PROGRAMMING ??,2020-07-03,70841,5411,523,Jul
114,How Will COVID Affect College Students & Engineers ?,2020-07-01,35447,3683,409,Jul
115,How to use GeeksForGeeks for practicing Coding 🔥|  Beginner's Guide to Code | Best Coding Website,2020-06-29,688942,41755,2212,Jun
116,Projects vs Competitive Programming || Journey of a Pro Competitive Coder🔥🔥,2020-06-27,343037,21519,912,Jun
117,How to get a Software Internship in India ? ?,2020-06-22,244548,14795,663,Jun
118,"Thank You for 51,000 Subscribers | Love Babbar",2020-06-20,19112,2211,859,Jun
119,"Game Theory 🔥🔥 Complete ROADMAP, NOTES & STRATEGY || Competitive Programming || Part-9",2020-06-16,43175,1929,191,Jun
120,College Student's First StartUp Experience 🔥🔥 || How to get a StartUp Idea ??,2020-06-14,59622,5509,471,Jun
121,What a Software Engineer really does ????   ||  Life at Amazon,2020-06-12,573316,32614,1569,Jun
122,The Viral College Girl Interview | Tier 3 College Journey && Strategy,2020-06-09,330126,17841,990,Jun
123,"You Try, You Win || It's all about First Step | **GIVEAWAY** StoryTime",2020-06-04,56960,5823,706,Jun
124,"GRAPH ALGORITHMS 🔥 || Complete ROADMAP, NOTES & STRATEGY || Competitive Programming || Part-8",2020-05-28,49856,2151,229,May
125,[Part 7] BIT or Fenwick Tree || Competitive Programming Series,2020-05-27,18733,732,118,May
126,[Part 6] Segment Trees | Advanced Data Structure | Competitive Programming Series,2020-05-18,29266,1378,174,May
127,The REAL CORPORATE Story,2020-05-16,209911,22765,1665,May
128,Off-Campus DE Shaw Interview Experience | Mistakes Explained | How to apply ? 🤔?,2020-05-12,174778,9964,666,May
129,[Part 5] Cracking Recursion and Backtracking || Competitive Programming Series,2020-05-10,61090,2273,153,May
130,[Part 4] Path to Greedy Algorithms || Competitive Programming Series || Class-4,2020-05-07,63795,2161,158,May
131,We are Teaching !! Free Courses for College Students || Doubt Sessions too,2020-05-06,34453,2688,482,May
132,Most Expensive stuff bought from Salary ? 🤔? || First QnA Session,2020-05-04,110004,6611,563,May
133,"[Part 3] Binary Search, Competitive Programming Series | from Zero to Advanced",2020-05-01,45330,2105,254,May
134,Reality of Colleges || Tier3 Better than Tier1 College Students,2020-04-29,192358,11857,807,Apr
135,Quarantine SUNDAY Vlog || Sister ROASTED me 😞😞,2020-04-27,68966,3886,178,Apr
136,[Part 2] NUMBER THEORY(Competitive Programming) for Indian Students ||  Zero to Advance,2020-04-25,75729,3144,273,Apr
137,"[Part 1] MATHS (Competitive Programming)  for Indian Students, Beginners || from Zero to Advanced",2020-04-22,281050,14724,769,Apr
138,CTC and Take-Home Salary || Indian Software Engineers || Huge Packages Explained,2020-04-20,236948,14952,602,Apr
139,[Part 0]Starting with Competitive Programming in India ? ?,2020-04-18,269034,8614,352,Apr
140,DTU vs NSUT Podcast (The Biggest Rivalry) || Candid Discussion ||  which is the SUPREME ??,2020-04-13,93722,4946,425,Apr
141,NSUT vs IIITD Podcast  ||  Candid Discussion 2020  ||  which is the BEST ??,2020-04-09,39036,2208,217,Apr
142,Update LIVE Session,2020-04-07,8851,493,63,Apr
143,All about INTERNSHIPS in Top MNC's || When to start and Apply ?? ||Which StartUp is Best,2020-04-06,116905,6590,489,Apr
144,Most Commonly Asked GREEDY ALGO Problems || Placement Series,2020-03-30,28050,667,82,Mar
145,How to Fix your First Bug in OPEN SOURCE || Placement Series,2020-03-29,138233,5152,230,Mar
146,Git && Github Complete in 33 MINUTES || Placement Series,2020-03-28,234766,8595,376,Mar
147,Lost the Video Challenge 😞😞,2020-03-20,9051,635,163,Mar
148,NEW Continental GT 650 TWIN !! 🏍️🏍️,2020-03-19,112386,2388,142,Mar
149,Complete Roadmap for College Students || Part - 2 || Love Babbar,2020-03-17,58299,2841,185,Mar
150,Complete Roadmap for College Students || Part - 1 || Love Babbar,2020-03-16,236916,13755,800,Mar
151,Chalo JLN Stadium chalte hai !!!! || Met HOME MINISTER👁️👁️,2020-03-14,9942,554,86,Mar
152,Fresh Start || Back Again,2020-03-08,6560,369,50,Mar
153,MY FIRST SEMINAR!!,2020-03-07,26732,2132,82,Mar
154,Struggle and ShowOff🔥 || 🔥Behind the Scenes(Amazon Interview Experience)🔥,2020-03-07,20365,1028,44,Mar
155,What Happened in my INTERVIEW ??😱😱 || Learning && Suggestions || Love Babbar,2020-03-07,402823,18863,583,Mar
156,Unpredictable Experience 👮🏻‍♂👮🏻‍♂ || Office to Fest,2020-03-07,13148,640,25,Mar
157,Earn Extra Income || Make Money Online 2020 || Freelancing Ways,2020-03-07,58746,3812,146,Mar
158,FIRST GROUP RIDE 🚴‍♀🚴‍♀,2020-03-07,6420,250,9,Mar
159,Dynamic Programming🔥🔥 || Complete Placement Series Guide || Love Babbar,2020-03-07,94492,3391,96,Mar
160,Recursion and Backtracking🔥🔥 || Complete Placement Series Guide || Love Babbar,2020-03-07,52538,1642,57,Mar
161,🔥 Google Summer of Code 🔥 || All about GSoC 2020,2020-03-07,132477,8203,306,Mar
162,🔥Searching and Sorting Algorithms 🔥 || Placement Series || By Love Babbar,2020-01-02,64670,2413,152,Jan
163,🔥INVITED SUBSCRIBER TO VISIT AMAZON 🔥🔥,2020-01-01,40219,2531,133,Jan
164,🔥🔥New Year gift 🔥🔥 for you all,2019-12-31,11482,908,157,Dec
165,I NEED YOUR SUGGESTIONS,2019-12-31,5700,441,257,Dec
166,"10,000  ki Happiness",2019-12-30,28450,1341,102,Dec
167,Update: HackerRank Contest || Telegram Group || 300+ DS Questions,2019-12-24,30903,1443,225,Dec
168,🔥Graph 🔥  || Placement Series || By Love Babbar,2019-12-24,98875,3961,246,Dec
169,🔥How to Productively utilise WINTER Breaks  🔥 || For College Students || By Love Babbar,2019-12-23,35134,1783,218,Dec
170,"Recursion, Competitive Coding And General Doubts",2019-12-21,15921,752,105,Dec
171,SET && MAP  || What to Study || Complete Placement Series Guide 🔥🔥|| Love Babbar,2019-12-19,48474,1873,131,Dec
172,10K Special,2019-12-18,13795,849,86,Dec
173,"🔥All about ""Projects"" required for Placements  🔥|| What to build || by Love Babbar",2019-12-17,295700,15437,580,Dec
174,Road Trip with Squad || Delhi to Ropar || ft. Aman Dhattarwal,2019-12-11,221237,7952,252,Dec
175,STACK/QUEUE/HEAP || What to Study || Complete Placement Series Guide 🔥🔥|| Love Babbar,2019-12-09,35523,1473,225,Dec
176,NSUT Alumni Meet and Quick Look  🔥🔥,2019-12-08,32294,1472,128,Dec
177,Unboxing with AMAN DHATTARWAL,2019-12-06,224525,9422,288,Dec
178,TREE || What to Study || Complete Placement Series Guide 🔥🔥|| Love Babbar,2019-11-30,76657,2809,92,Nov
179,Linked List || What to Study || Complete Placement Series Guide 🔥🔥|| Love Babbar,2019-11-23,49485,1086,58,Nov
180,String || What to Study || Complete Placement Series Guide 🔥🔥|| Love Babbar,2019-11-20,52799,1348,62,Nov
181,Arrays || What to Study || Complete Placement Series Guide 🔥🔥|| Love Babbar,2019-11-17,139768,5537,184,Nov
182,What to study for PLACEMENTS || Complete Placement Series Guide 🔥🔥 || Love Babbar,2019-11-11,218266,11256,539,Nov
183,RESUME for Tech Jobs || COMMON MISTAKES and TIPS 🔥🔥|| By Love Babbar,2019-11-07,107112,5138,216,Nov
184,All about Off-Campus Placements || by Love Babbar,2019-11-03,445642,21861,719,Nov
185,Screening Day - The Deciding Day  ||  OIR && PPDT  ||  Rules and Common Mistakes,2019-10-23,5616,221,26,Oct
186,Just a Normal Day in Delhi,2019-10-20,48513,1166,41,Oct
187,Amazon tour from Inside!!! || Amazon Hyderabad New Campus,2019-10-12,1370889,31783,1249,Oct
188,Feel the Energy || Vlog 5,2019-09-29,9282,403,15,Sep
189,We Here KASHMIR || Vlog 4,2019-09-26,9429,339,18,Sep
190,I WORK HERE | VLOG3,2019-09-06,50854,1605,56,Sep
191,MY FIRST VLOG,2019-08-20,30996,977,58,Aug
192,Situation Reaction Test||Psychological Test SSB||(Baalnoi Academy Ex),2017-06-27,6561,192,44,Jun
193,Self-Description Test||Psychological test SSB ||(Baalnoi-Ex),2017-06-27,2614,52,16,Jun
194,20 MOST TRICKY WORDS SOLUTIONS,2017-03-20,1873,43,6,Mar
195,SAMPLE TEST 2|| Thematic Apperception Test,2017-01-30,1767,20,2,Jan
196,SAMPLE TEST || Thematic Apperception Test,2017-01-17,32060,167,8,Jan
197,THEMATIC APPERCEPTION TEST [BASICS &TECHNIQUE],2017-01-02,7821,61,6,Jan
198,20 MOST TRICKY WORDS IN WAT [psychological test] ssb,2016-12-22,20009,271,11,Dec
199,"WORD ASSOCIATION TEST,SAMPLE TEST 2[SSB PSYCHOLOGICAL TEST]",2016-12-17,2798,26,6,Dec
200,"WORD ASSOCIATION TEST,SAMPLE TEST 1[SSB PSYCHOLOGICAL TEST]",2016-12-14,5128,77,8,Dec
201,"WORD ASSOCIATION TEST,WAT[PSYCHOLOGICAL TEST]",2016-12-08,15918,250,30,Dec
